portfolioName(string),index(int option),yearMonth(date),ret(float)
Mine,3,2005-12-01T00:00:00.0000000,-0.0015424466266446158
Mine,1,2006-01-01T00:00:00.0000000,0.040683287365099435
Mine,2,2006-01-01T00:00:00.0000000,0.013432641683647238
Mine,3,2006-01-01T00:00:00.0000000,0.0564830404898206
Mine,1,2006-02-01T00:00:00.0000000,0.0026434696723338733
Mine,2,2006-02-01T00:00:00.0000000,0.002424611695360999
Mine,3,2006-02-01T00:00:00.0000000,-0.020106613636012637
Mine,1,2006-03-01T00:00:00.0000000,0.011572587601844818
Mine,2,2006-03-01T00:00:00.0000000,0.0112306841352358
Mine,3,2006-03-01T00:00:00.0000000,0.021072246831624827
Mine,1,2006-04-01T00:00:00.0000000,0.00844811662255101
Mine,2,2006-04-01T00:00:00.0000000,0.008852454230044392
Mine,3,2006-04-01T00:00:00.0000000,0.010413102710563019
Mine,1,2006-05-01T00:00:00.0000000,-0.03523036060875337
Mine,2,2006-05-01T00:00:00.0000000,-0.030794523319535742
Mine,3,2006-05-01T00:00:00.0000000,-0.04117454894839533
Mine,1,2006-06-01T00:00:00.0000000,-0.002666591602569623
Mine,2,2006-06-01T00:00:00.0000000,-0.007304645418584886
Mine,3,2006-06-01T00:00:00.0000000,-0.007856627905735377
Mine,1,2006-07-01T00:00:00.0000000,0.00547902215385619
Mine,2,2006-07-01T00:00:00.0000000,-0.006704430232671221
Mine,3,2006-07-01T00:00:00.0000000,-0.014000346512834893
Mine,1,2006-08-01T00:00:00.0000000,0.022341292678516193
Mine,2,2006-08-01T00:00:00.0000000,0.02023251949164469
Mine,3,2006-08-01T00:00:00.0000000,0.019114383097959615
Mine,1,2006-09-01T00:00:00.0000000,0.017799060190274853
Mine,2,2006-09-01T00:00:00.0000000,0.016623842362135374
Mine,3,2006-09-01T00:00:00.0000000,0.011435072939661244
Mine,1,2006-10-01T00:00:00.0000000,0.029149548105875903
Mine,2,2006-10-01T00:00:00.0000000,0.027501308829998523
Mine,3,2006-10-01T00:00:00.0000000,0.03703393335305623
Mine,1,2006-11-01T00:00:00.0000000,0.020299189572637252
Mine,2,2006-11-01T00:00:00.0000000,0.009130665823326702
Mine,3,2006-11-01T00:00:00.0000000,0.027921155053538423
Mine,1,2006-12-01T00:00:00.0000000,0.006734832970104359
Mine,2,2006-12-01T00:00:00.0000000,0.014500036083629014
Mine,3,2006-12-01T00:00:00.0000000,-0.0030072529005168943
Mine,1,2007-01-01T00:00:00.0000000,0.011548070673035978
Mine,2,2007-01-01T00:00:00.0000000,0.011515116603841778
Mine,3,2007-01-01T00:00:00.0000000,0.013625004642375843
Mine,1,2007-02-01T00:00:00.0000000,-0.019855384781053198
Mine,2,2007-02-01T00:00:00.0000000,-0.02031521441258719
Mine,3,2007-02-01T00:00:00.0000000,-0.010516770485324421
Mine,1,2007-03-01T00:00:00.0000000,0.00769448222444288
Mine,2,2007-03-01T00:00:00.0000000,0.006933603236544246
Mine,3,2007-03-01T00:00:00.0000000,0.01392569614797737
Mine,1,2007-04-01T00:00:00.0000000,0.042575649014947585
Mine,2,2007-04-01T00:00:00.0000000,0.03524871728728196
Mine,3,2007-04-01T00:00:00.0000000,0.036441515226474853
Mine,1,2007-05-01T00:00:00.0000000,0.02353512408363142
Mine,2,2007-05-01T00:00:00.0000000,0.03211372777001009
Mine,3,2007-05-01T00:00:00.0000000,0.0489931392689692
Mine,1,2007-06-01T00:00:00.0000000,-0.023334986774090048
Mine,2,2007-06-01T00:00:00.0000000,-0.02421456534121238
Mine,3,2007-06-01T00:00:00.0000000,-0.008676680595006519
Mine,1,2007-07-01T00:00:00.0000000,-0.04473722793048249
Mine,2,2007-07-01T00:00:00.0000000,-0.03964721583893277
Mine,3,2007-07-01T00:00:00.0000000,-0.0225654726684106
Mine,1,2007-08-01T00:00:00.0000000,0.017036388916839888
Mine,2,2007-08-01T00:00:00.0000000,0.005489841979621859
Mine,3,2007-08-01T00:00:00.0000000,0.006173188234198087
Mine,1,2007-09-01T00:00:00.0000000,0.020784963807827482
Mine,2,2007-09-01T00:00:00.0000000,0.036544387075960895
Mine,3,2007-09-01T00:00:00.0000000,0.04759248786486641
Mine,1,2007-10-01T00:00:00.0000000,0.008550708183951152
Mine,2,2007-10-01T00:00:00.0000000,0.017362440222061744
Mine,3,2007-10-01T00:00:00.0000000,0.02976658401686741
Mine,1,2007-11-01T00:00:00.0000000,-0.05271131604874607
Mine,2,2007-11-01T00:00:00.0000000,-0.04418788343325012
Mine,3,2007-11-01T00:00:00.0000000,-0.05859510147174162
Mine,1,2007-12-01T00:00:00.0000000,-0.02114446302465233
Mine,2,2007-12-01T00:00:00.0000000,-0.02034056285587779
Mine,3,2007-12-01T00:00:00.0000000,0.011977022281738699
Mine,1,2008-01-01T00:00:00.0000000,-0.03849290883282851
Mine,2,2008-01-01T00:00:00.0000000,-0.05632323451170006
Mine,3,2008-01-01T00:00:00.0000000,-0.0878526465141409
Mine,1,2008-02-01T00:00:00.0000000,-0.04495136801610584
Mine,2,2008-02-01T00:00:00.0000000,-0.03300665582758264
Mine,3,2008-02-01T00:00:00.0000000,0.0012243933893354283
Mine,1,2008-03-01T00:00:00.0000000,-0.018258729526967468
Mine,2,2008-03-01T00:00:00.0000000,0.0008336166511929235
Mine,3,2008-03-01T00:00:00.0000000,-0.01683828000828597
Mine,1,2008-04-01T00:00:00.0000000,0.01750773964622852
Mine,2,2008-04-01T00:00:00.0000000,0.04098351824946244
Mine,3,2008-04-01T00:00:00.0000000,0.07024493756073656
Mine,1,2008-05-01T00:00:00.0000000,0.002976988563748151
Mine,2,2008-05-01T00:00:00.0000000,0.007535811676778591
Mine,3,2008-05-01T00:00:00.0000000,0.039912216851866536
Mine,1,2008-06-01T00:00:00.0000000,-0.11695118775765231
Mine,2,2008-06-01T00:00:00.0000000,-0.0883375268268963
Mine,3,2008-06-01T00:00:00.0000000,-0.05909547861916108
Mine,1,2008-07-01T00:00:00.0000000,0.0359260050628504
Mine,2,2008-07-01T00:00:00.0000000,-0.011885860135360502
